name,firm,address,city,county,phone,website
Vantage Group Legal Services,Vantage Group Legal Services,"205 N Michigan Ave Suit 810, Chicago, IL 60601",Chicago,Cook,+1 773-232-3388,https://vantagegl.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgmb%26utm_campaign%3Dgmb
KazdaLaw,KazdaLaw,"4544 W 103rd St #102, Oak Lawn, IL 60453",Oak Lawn,Cook,+1 708-448-5000,http://www.kazdalaw.com/
John Belconis,John Belconis,"350 S NW Hwy suite 300, Park Ridge, IL 60068",Park Ridge,Cook,+1 847-430-3652,https://www.belconiselderlaw.com/
Frank E. Stepnowski,Frank E. Stepnowski,"1515 N Harlem Ave Ste. #205-2, Oak Park, IL 60302",Oak Park,Cook,+1 708-848-3662,https://www.stepnowskilaw.com/
Harrison LLP,Harrison LLP,"333 W Wacker Dr Ste 1700, Chicago, IL 60606",Chicago,Cook,+1 312-332-1111,https://harrisonllp.com/
Hortsman & Campanelli,Hortsman & Campanelli,"9760 S Roberts Rd # 1, Palos Hills, IL 60465",Palos Hills,Cook,+1 708-598-8540,http://www.hortsman.com/
"The Sherrod Law Firm, Ltd.","The Sherrod Law Firm, Ltd.","205 N Michigan Ave Suite 810, Chicago, IL 60601",Chicago,Cook,+1 312-321-6910,https://sherrodlawfirm.com/%3Futm_source%3Dgoogle%26utm_medium%3DChicago_GMB%26utm_campaign%3DGMB_Website_Button%26y_source%3D1_Njc1MjI0MzItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D
"Toscas Law Group, LLC.","Toscas Law Group, LLC.","12616 S Harlem Ave, Palos Heights, IL 60463",Palos Heights,Cook,+1 708-448-0200,https://toscaslaw.com/
"Law Office of Jenny Cruz Pedroza, LLC","Law Office of Jenny Cruz Pedroza, LLC","3613 W 95th St, Evergreen Park, IL 60805",Evergreen Park,Cook,+1 773-599-4020,https://jcplawil.com/
Donald Kiolbassa Attorney At Law,Donald Kiolbassa Attorney At Law,"203 N La Salle Dr #2100, Chicago, IL 60601",Chicago,Cook,+1 773-744-9567,http://www.chicagorealestateatty.com/
"Estate & Business Law Group, PC","Estate & Business Law Group, PC","700 Florsheim Dr # 11, Libertyville, IL 60048",Libertyville,Lake,+1 847-367-4460,http://www.eblawgroup.com/
Kyra S. G. Payne,Kyra S. G. Payne,"10258 S Western Ave Suite 202, Chicago, IL 60643",Chicago,Cook,+1 773-238-6037,https://www.estateplanninglawyerchicago.net/
Bell Advocate LLC,Bell Advocate LLC,"9987 S Throop St, Chicago, IL 60643",Chicago,Cook,+1 773-234-2052,https://www.belladvocate.com/
O'Flaherty Law,O'Flaherty Law,"155 N Wacker Dr Ste 4250 Unit 30, Chicago, IL 60606",Chicago,Cook,+1 872-228-2324,https://www.oflaherty-law.com/locations/chicago
"Law Offices of Douglas Belofsky, P.C.","Law Offices of Douglas Belofsky, P.C.","707 Skokie Blvd # 600, Northbrook, IL 60062",Northbrook,Cook,+1 847-464-9303,https://www.belofsky.com/
Koczwara Christopher,Koczwara Christopher,"5838 S Archer Ave, Chicago, IL 60638",Chicago,Cook,+1 773-767-5422,http://www.koczwaralaw.com/
"Paul C.Sheils, Attorney at Law","Paul C.Sheils, Attorney at Law","14 Shadow Creek Cir, Palos Heights, IL 60463",Palos Heights,Cook,+1 708-415-5899,https://www.paulsheils.com/
"Wendy Calvert Law Offices, P.C.","Wendy Calvert Law Offices, P.C.","1016 W Jackson Blvd, Chicago, IL 60607",Chicago,Cook,,https://www.wcalvertlaw.com/
Ronald J. Hurley Attorney,Ronald J. Hurley Attorney,"10022 S Western Ave, Chicago, IL 60643",Chicago,Cook,+1 773-779-9000,http://ronaldjhurleylawoffice.com/
The Estate Planning Law Group,The Estate Planning Law Group,"1776 S Naperville Rd # 105-A, Wheaton, IL 60189",Wheaton,DuPage,+1 630-871-8778,http://www.teplg.com/
Maksimovich & Associates P.C. Attorneys at Law,Maksimovich & Associates P.C. Attorneys at Law,"8643 Ogden Ave, Lyons, IL 60534",Lyons,Cook,+1 708-447-1040,https://www.maksimovichlaw.com/
"Law Offices of Thomas W. Lynch, P.C.","Law Offices of Thomas W. Lynch, P.C.","9231 S Roberts Rd, Hickory Hills, IL 60457",Hickory Hills,Cook,+1 708-598-5999,http://www.thomaswlynchpc.com/
Di Giacomo & Somers L.L.C.,Di Giacomo & Somers L.L.C.,"1 Northfield Plaza Suite 300, Northfield, IL 60093",Northfield,Cook,+1 847-784-8900,https://www.digiacomo-somers.com/
Law Office of Michael A. Perez,Law Office of Michael A. Perez,"1011 N California Ave, Chicago, IL 60622",Chicago,Cook,+1 773-772-8989,https://www.lomap.com/
"Joseph J. Walczak, P.C.","Joseph J. Walczak, P.C.","12628 S Harlem Ave, Palos Heights, IL 60463",Palos Heights,Cook,+1 708-361-3390,https://josephwalczak.com/
Hewitt & Wagner Attorneys at Law,Hewitt & Wagner Attorneys at Law,"1124 Lincoln Hwy, Rochelle, IL 61068",Rochelle,Other Illinois,+1 815-562-2704,http://hewitt-wagner.com/
McCabe & McCabe LTD,McCabe & McCabe LTD,"8827 Ogden Ave, Brookfield, IL 60513",Brookfield,Cook,+1 708-485-7500,https://mccabelegal.net/
"The Law Office of Doug Nelson, P.C.","The Law Office of Doug Nelson, P.C.","180 N LaSalle St, Chicago, IL 60601",Chicago,Cook,+1 312-239-1390,http://www.dougnelsonlaw.com/
Law Offices Of Douglas Conover LLC,Law Offices Of Douglas Conover LLC,"1901 S Calumet Ave UNIT 1406, Chicago, IL 60616",Chicago,Cook,+1 312-928-9389,https://dclawchicago.com/
"Peter S. Cleary, Esq.","Peter S. Cleary, Esq.","6965 W 111th St, Worth, IL 60482",Worth,Cook,+1 708-361-6900,http://www.clearyandassociates.com/
"Lawrence Kamin, LLC","Lawrence Kamin, LLC","300 S Wacker Dr #500, Chicago, IL 60606",Chicago,Cook,+1 312-372-1947,http://www.lawrencekaminlaw.com/
Tarick Loutfi Attorney at Law,Tarick Loutfi Attorney at Law,"230 W Monroe St Suite 1010, Chicago, IL 60606",Chicago,Cook,+1 312-551-1105,https://www.loutfilaw.com/
"Soffietti, Johnson, Teegen, Argueta, Bawcum & Barone","Soffietti, Johnson, Teegen, Argueta, Bawcum & Barone","74 Grand Ave, Fox Lake, IL 60020",Fox Lake,Lake,+1 847-978-4495,https://www.sjtpolaw.com/%3Fnpcmp%3Ddir:local:2105111:60020
McMillan Holmes LLC,McMillan Holmes LLC,"1340 W 99th St, Chicago, IL 60643",Chicago,Cook,+1 773-340-8003,http://www.mcmillanholmes.com/
"Vincent F Giuliano, PC","Vincent F Giuliano, PC","7222 Cermak Rd Ste 701, North Riverside, IL 60546",North Riverside,Cook,+1 708-316-1332,https://www.giulianolaw.net/
FMS Law Group LLC,FMS Law Group LLC,"200 W Monroe St, Chicago, IL 60606",Chicago,Cook,+1 312-332-6381,http://www.fmslawgroup.com/contact/
Law Office of Lawrence G Leibforth,Law Office of Lawrence G Leibforth,"4001 W 95th St #200, Oak Lawn, IL 60453",Oak Lawn,Cook,+1 708-499-6300,https://www.leibforthlaw.com/
"The Michael Law Group, P.C.","The Michael Law Group, P.C.","311 S Wacker Dr # 1590, Chicago, IL 60606",Chicago,Cook,+1 312-900-0150,https://themichaellawgroup.com/
Martinez Law LLC,Martinez Law LLC,"5310 S Archer Ave, Chicago, IL 60632",Chicago,Cook,+1 312-312-5434,https://www.martinezlawllc.net/
"Gillespie Law Group, LLC","Gillespie Law Group, LLC","6 E Monroe St APT 1004, Chicago, IL 60603",Chicago,Cook,+1 312-332-6339,https://illinoisadoptionlawyer.com/
Goldin Hill & Associates,Goldin Hill & Associates,"9100 Plainfield Rd, Brookfield, IL 60513",Brookfield,Cook,+1 708-485-8300,http://www.goldinhill.com/
Tillman and Tillman and Associates,Tillman and Tillman and Associates,"11212 S Western Ave Ste 1, Chicago, IL 60643",Chicago,Cook,+1 773-881-4000,http://www.evergreenlegalservices.com/
The Law Office of Erika L. Finley,The Law Office of Erika L. Finley,"1510 E 55th St #15472, Chicago, IL 60615",Chicago,Cook,+1 708-527-8052,http://www.efinleylaw.com/
"Loncar Law, Ltd.","Loncar Law, Ltd.","3501 E 106th St #206, Chicago, IL 60617",Chicago,Cook,+1 773-734-5040,http://loncarlaw.com/
Deranian Law Group LLC,Deranian Law Group LLC,"1448 E 52nd St #268, Chicago, IL 60615",Chicago,Cook,+1 773-888-9408,https://deranianlaw.com/
"The Law Offices of Bradley H. Foreman, P.C.","The Law Offices of Bradley H. Foreman, P.C.","900 W Jackson Blvd #7E, Chicago, IL 60607",Chicago,Cook,+1 312-948-8126,http://foremanlawoffice.com/
Koch & Associates P.C. Attorneys At Law,Koch & Associates P.C. Attorneys At Law,"5947 W 35th St, Cicero, IL 60804",Cicero,Cook,+1 708-656-9900,https://dkoffices.com/
Tiesenga & DeBoer LLP,Tiesenga & DeBoer LLP,"1200 Harger Rd Suite 830, Oak Brook, IL 60523",Oak Brook,DuPage,+1 630-645-9881,https://www.oakbrook-law.com/%3Futm_source%3DGMB%26utm_medium%3DOak%2BBrook%26utm_campaign%3Dgmb
The Barclay Law Group,The Barclay Law Group,"3525 S King Dr, Chicago, IL 60653",Chicago,Cook,+1 312-553-0123,http://barclaylawgroup.com/
"Johnston, Tomei & Goldberg LLC","Johnston, Tomei & Goldberg LLC","350 N Milwaukee Ave Ste 202, Libertyville, IL 60048",Libertyville,Lake,+1 847-549-0600,https://www.lawjtlg.com/
Law Office Of Judy K. Maldonado,Law Office Of Judy K. Maldonado,"1800 Nations Dr Ste 218, Gurnee, IL 60031",Gurnee,Lake,+1 847-379-7300,http://www.jkmlaw.com/
"Advocate Law, LLC","Advocate Law, LLC","1862 E Belvidere Rd Ste. 211, Grayslake, IL 60030",Grayslake,Lake,+1 224-372-0110,http://www.advocatelawllc.com/
"LoMonaco Law, LLC","LoMonaco Law, LLC","3 W Hawthorn Pkwy Ste 180, Vernon Hills, IL 60061",Vernon Hills,Lake,+1 847-247-8300,http://www.lomonacolaw.com/
Business and Estate Planning Lawyers - Lexern Law Group,Business and Estate Planning Lawyers - Lexern Law Group,"1580 S Milwaukee Ave Ste 507, Libertyville, IL 60048",Libertyville,Lake,+1 847-777-6838,http://lexern.com/
Martin & Mennecke,Martin & Mennecke,"4212 Old Grand Ave, Gurnee, IL 60031",Gurnee,Lake,+1 847-244-4450,http://martinmennecke.com/
SG Law,SG Law,"175 Olde Half Day Rd Suite 100-12, Lincolnshire, IL 60069",Lincolnshire,Lake,+1 224-595-9832,https://sgurulaw.com/
Barbara J. Swanson Law,Barbara J. Swanson Law,"4473 Old Grand Ave, Gurnee, IL 60031",Gurnee,Lake,+1 847-244-8545,http://www.bswansonlaw.com/
"Kaiser, Shepherd & Nakon, P.C.","Kaiser, Shepherd & Nakon, P.C.","121 E Liberty St Ste 3, Wauconda, IL 60084",Wauconda,Lake,+1 847-526-0626,http://ksnfirm.com/
The David Frank Law Group,The David Frank Law Group,"3400 Dundee Rd Suite 320, Northbrook, IL 60062",Northbrook,Cook,+1 773-255-6499,https://www.thedavidfranklawgroup.com/
"Menges, Attorney At Law, P.C.","Menges, Attorney At Law, P.C.","26460 N Main St #100, Wauconda, IL 60084",Wauconda,Lake,+1 847-865-5879,https://www.mengesattorney.com/
